Advances in Multimedia Modeling, 53
COLING, 53
Digital Humanities, 53
IEEE Trans. VLSI Syst., 53
International Conference on Advanced Visual Interfaces, 53
Medical Image Computing and Computer Assisted Intervention, 53
Sketch Based Interfaces and Modeling, 53
Dagstuhl Reports, 52
Design, 52
European Conference on Colour in Graphics, 52
I. J. Bifurcation and Chaos, 52
IEEE INFOCOM, 52
Int. J. Image Graphics, 52
International Conference on Control, 52
Operations Research, 52
Quality and Reliability Eng. Int., 52
Robotics and Autonomous Systems, 52
SC Companion: High Performance Computing, 52
The Twenty- IEEE Conference on Computer Vision and Pattern Recognition, 52
Web Technologies and Applications, 52
Cluster Computing, 51
HYPERTEXT, 51
IEEE Pacific Visualization Symposium PacificVis, 51
International Conference on Language Resources and Evaluation, 51
Machine Learning in Medical Imaging, 51
SIBGRAPI Conference on Graphics, 51
Wireless Algorithms, 51
ACM SIGGRAPH/EUROGRAPHICS Workshop on Graphics Hardware, 50
ACM Symposium on Applied Perception, 50
CSCW Computer Supported Cooperative Work, 50
Math. Comput., 50
Mensch & Computer, 50
Symposium on Point Based Graphics, 50
VLDB  International Conference on Very Large Data Bases, 50
Web Information Systems Engineering, 50
ACM Symposium on Software Visualization, 49
Biocomputing, 49
Eurographics / IEEE VGTC Workshop on Volume Graphics, 49
GeoInformatica, 49
IEEE International Conference on Computer Supported Cooperative Work in Design, 49
IEEE International Conference on Control and Automation, 49
IEEE International Conference on Services Computing, 49
IEEE J. Biomedical and Health Informatics, 49
International Journal of Parallel Programming, 49
TLT, 49
Wireless Communications and Mobile Computing, 49
World Wide Web, 49
international conference on World Wide Web, 49
ACM Multimedia Conference, 48
ACM SIGGRAPH  Visual Proceedings: The art and interdisciplinary programs of SIGGRAPH, 48
AI EDAM, 48
Computer Animation, 48
ERCIM News, 48
IEEE Intelligent Systems, 48
IEEE Trans. Consumer Electronics, 48
Int. J. Systems Science, 48
Software Technology, 48
Americas Conference on Information Systems, 47
Annual National Conference on Digital Government Research, 47
Computers Environment and Urban Systems, 47
Eurographics Workshop on 3D Object Retrieval, 47
IEEE International Performance Computing and Communications Conference, 47
IEEE Trans. Robotics and Automation, 47
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, 47
International Conference on Extending Database Technology, 47
International Symposium on Wearable Computers, 47
Robotica, 47
Thirtieth AAAI Conference on Artificial Intelligence, 47
Advances in Web-Based Learning, 46
Artif. Intell., 46
CSSP, 46
Data Knowl. Eng., 46
Electr. Notes Theor. Comput. Sci., 46
Fuzzy Sets and Systems, 46
IEEE International Symposium on Multimedia, 46
International Conference on Advanced Information Networking and Applications, 46
International Conference on Image and Graphics, 46
J. Intelligent Manufacturing, 46
J. UCS, 46
TKDD, 46
VAST, 46
ACM SIGPLAN Conference on Programming Language Design and Implementation, 45
ACM SIGSPATIAL International Symposium on Advances in Geographic Information Systems, 45
Advances in Computer Graphics, 45
Annual ACM Symposium on Theory of Computing, 45
Appl. Math. Lett., 45
Computer Communication Review, 45
Conference on High Performance Computing Networking, 45
IEEE Conference on Computer Communications, 45
IEEE International Symposium on Information Theory, 45
IEEE Trans. Cybernetics, 45
IEEE Workshop on Multimedia Signal Processing, 45
IEEE/ACM International Symposium on Cluster, 45
Intelligent Virtual Agents, 45
MultiMedia Modeling, 45
OR, 45
User Modeling, 45
Advances in Computer Science, 44
Automata Languages and Programming, 44
Euro-Par Parallel Processing, 44
GRAPP & IVAPP, 44
IEEE International Conference on Data Mining Workshops, 44
Int. J. Imaging Systems and Technology, 44
Int. J. on Digital Libraries, 44
International Conference on Computer Graphics, 44
International Journal of Man-Machine Studies, 44
SIGSPATIAL International Conference on Advances in Geographic Information Systems, 44
Science in China Series F: Information Sciences, 44
conference of the Centre for Advanced Studies on Collaborative Research, 44
ACM Trans. Program. Lang. Syst., 43
Computer Analysis of Images and Patterns, 43
Diagrammatic Representation and Inference, 43
Environmental Modelling and Software, 43
Eurographics Workshop on Visual Computing for Biomedicine, 43
IEEE Internet Computing, 43
International Conference on Tangible and Embedded Interaction, 43
International Symposium on Visual Information Communication and Interaction, 43
J. Sensors, 43
Mathematical and Computer Modelling, 43
Multimedia Syst., 43
Spring Simulation Multiconference, 43
The International Conference on E-Business and E-Government, 43
Virtual Reality Annual International Symposium, 43
it - Information Technology, 43
ACM SIGCOMM Conference on Applications, 42
Advances in Database Technology, 42
Brazilian Symposium on Computer Graphics and Image Processing, 42
Fifth International Conference on Natural Computation, 42
Human Factors, 42
IEEE Workshop on Visual Languages, 42
Information Computing and Applications, 42
International Conference on Advances in Computer Entertainment Technology, 42
International Conference on Multimodal Interfaces, 42
International Journal of Shape Modeling, 42
Languages and Compilers for Parallel Computing, 42
Sys. Safety, 42
The IEEE Conference on Computer Vision and Pattern Recognition, 42
Vision Modeling & Visualization, 42
ACM TIST, 41
ACM technical symposium on Computer science education, 41
Annual Southeast Regional Conference, 41
Grid and Cooperative Computing, 41
High Performance Computing, 41
ICEIS, 41
IEEE International Conference on ASIC, 41
IEEE International Conference on Computer Vision Workshops, 41
IEEE International Solid-State Circuits Conference, 41
International ACM SIGACCESS Conference on Computers and Accessibility, 41
International ACM SIGGROUP Conference on Supporting Group Work, 41
International Conference on Parallel and Distributed Systems, 41
International Conference on World Wide Web Companion, 41
International Workshop on Database and Expert Systems Applications, 41
Microelectronics Journal, 41
Recent Advances in Parallel Virtual Machine and Message Passing Interface, 41
Systems and Computers in Japan, 41
Working Conference on Reverse Engineering, 41
ACIS International Conference on Software Engineering, 40
Asia-Pacific Software Engineering Conference, 40
Briefings in Bioinformatics, 40
Concurrency, 40
Conference on Creativity & Cognition, 40
Cyberpsy. Behavior, 40
IEEE Symposium on Biological Data Visualization, 40
IEEE Trans. Information Forensics and Security, 40
IEEE/ACIS International Conference on Computer and Information Science, 40
IJMIC, 40
International Conference on Computer Vision, 40
J. Network and Computer Applications, 40
Med. Biol. Engineering and Computing, 40
SIAM J. Math. Analysis, 40
TOMCCAP, 40
ACM International Conference on Web Search and Data Mining, 39
ACM on International Conference on Multimedia Retrieval, 39
Advances in Artificial Intelligence, 39
Data Warehousing and Knowledge Discovery, 39
Database, 39
IEEE International Conference on Semantic Computing, 39
J. Graphics Tools, 39
JASIS, 39
JCM, 39
Journal of Multimedia, 39
Neural Computation, 39
Operating Systems Review, 39
Computation, 38
Conference on Designing Interactive Systems, 38
HCI International, 38
IEEE International Conference on Fuzzy Systems, 38
IEEE International Conference on Information Reuse and Integration, 38
IEEE International Conference on e-Business Engineering, 38
IEEE Micro, 38
Informatik Spektrum, 38
International Conference on Educational Data Mining, 38
International Conference on Human-Computer Interaction with Mobile Devices and Services, 38
International Conference on Parallel and Distributed Processing Techniques and Applications, 38
J. Inf. Sci. Eng., 38
J. Symb. Comput., 38
MONET, 38
Medical Imaging and Augmented Reality, 38
SIAM J. Imaging Sciences, 38
The International ACM SIGIR conference on research and development in Information Retrieval, 38
Twenty-Ninth AAAI Conference on Artificial Intelligence, 38
Annual Canadian Conference on Computational Geometry, 37
Eurographics Workshop on Visual Computing for Biology and Medicine, 37
Frontiers Comput. Sci., 37
Image Analysis and Processing, 37
International Conference on Autonomic Computing, 37
International Conference on Digital Image Computing: Techniques and Applications, 37
J. Bioinformatics and Computational Biology, 37
Joint International Conference on Digital Libraries, 37
Proceeding of the International ACM SIGIR Conference on Research and Development in Information Retrieval, 37
Service-Oriented Computing, 37
Trans. GIS, 37
USENIX Symposium on Networked Systems Design and Implementation, 37
User Model. User-Adapt. Interact., 37
VLDB   International Conference on Very Large Data Bases, 37
Virtual Reality Conference, 37
WebNet, 37
ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, 36
Annual SIGCSE Conference on Innovation and Technology in Computer Science Education, 36
Australasian Computer-Human Interaction Conference, 36
Cognitive Science, 36
Computational Biology and Chemistry, 36
Computational Intelligence, 36
Design Automation and Test in Europe, 36
EDBT  International Conference on Extending Database Technology, 36
German Conference on Bioinformatics, 36
IEEE / ACM International Symposium on Mixed and Augmented Reality, 36
IEEE Systems Journal, 36
IEEE Trans. Aerospace and Electronic Systems, 36
Int. J. Communication Systems, 36
International Conference Information Visualisation, 36
International Conference on Data Engineering Workshops, 36
International Conference on Mobile and Ubiquitous Multimedia, 36
International Congress on Image and Signal Processing, 36
International Joint Conference on Computational Sciences and Optimization, 36
J. Medical Systems, 36
Scientific Programming, 36
The International Conference on Geoinformatics: GIScience in Change, 36
Theory and Practice of Computer Graphics, 36
Ars Comb., 35
CHI  Conference Summary on Human Factors in Computing Systems, 35
CIDR   Biennial Conference on Innovative Data Systems Research, 35
CSIE  WRI World Congress on Computer Science and Information Engineering, 35
Computing and Combinatorics, 35
EG UK Theory and Practice of Computer Graphics, 35
Electrical Engineering, 35
Front. Neuroinform., 35
IEEE Frontiers in Education Conference, 35
IEEE International Conference on Multimedia and Expo Workshops, 35
IEEE Trans. Neural Netw. Learning Syst., 35
International ACM SIGIR Conference on Research and Development in Information Retrieval, 35
International Conference on Collaboration Technologies and Systems, 35
International Conference on Computing, 35
International Conference on Multimedia Retrieval, 35
International Conference on Robotics and Automation, 35
International IEEE Conference on Intelligent Transportation Systems, 35
International Workshop on Semantic Evaluation, 35
Pervasive Computing, 35
A, 34
ACM Symposium on Cloud Computing, 34
Computational Intelligence and Security, 34
Conceptual Modeling, 34
Constraints, 34
D-Lib Magazine, 34
Eurographics Italian Chapter Conference, 34
Eurographics/ACM SIGGRAPH Symposium on Computer Animation, 34
Geometric Modeling and Processing, 34
High-Performance Computing and Networking, 34
IEEE International Conference on Automation Science and Engineering, 34
IEEE International Conference on Cloud Computing and Intelligence Systems, 34
IEEE International Conference on High Performance Computing and Communications, 34
IEEE International Conference on Mobile Data Management, 34
IEEE International Workshop on Multimedia Signal Processing, 34
International Conference on Computer Supported Cooperative Work in Design, 34
International Journal of Software Engineering and Knowledge Engineering, 34
J. Comb. Theory, 34
JOCCH, 34
Statistical Analysis and Data Mining, 34
Technologies for E-Learning and Digital Entertainment, 34
Technometrics, 34
TiiS, 34
ACM Technical Symposium on Computer Science Education, 33
Annual Symposium on User Interface Software and Technology, 33
Asian Control Conference, 33
Asilomar Conference on Signals, 33
Biomedical Image Registration, 33
Conference on Human Factors in Computing Systems: Common Ground, 33
IEEE Annual Computer Software and Applications Conference, 33
IEEE International Conference on Cloud Computing, 33
IEEE International Symposium on High Performance Distributed Computing, 33
IEEE Real-Time Systems Symposium, 33
IMWUT, 33
Int. J. Comput. Intell. Syst., 33
Interaction Design and Children, 33
International Conference on Digital Preservation, 33
International Conference on New Interfaces for Musical Expression, 33
International Conference on Semantics, 33
J. Comb. Optim., 33
J. Intell. Inf. Syst., 33
MASCOTS, 33
Mustererkennung, 33
On the Move to Meaningful Internet Systems, 33
SIGGRAPH Conference on Sketches & Applications: in conjunction with the annual conference on Computer graphics and interactive techniques, 33
ACM International Conference on Bioinformatics, 32
ACM International Joint Conference on Pervasive and Ubiquitous Computing, 32
Artificial Neural Networks, 32
Cooperative Design, 32
Digital Signal Processing, 32
Fifth International Conference on Fuzzy Systems and Knowledge Discovery, 32
I. J. Medical Informatics, 32
IECON, 32
IEEE International Conference on Healthcare Informatics, 32
IEEE International Conference on Software Maintenance, 32
IEEE Trans. Contr. Sys. Techn., 32
Image Analysis and Recognition, 32
Information Processing in Computer-Assisted Interventions, 32
Int. J. Digital Earth, 32
International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery, 32
International Conference on Geoinformatics, 32
International Conference on Information Systems for Crisis Response and Management, 32
International Conference on Internet Multimedia Computing and Service, 32
International Conference on Machine Learning and Applications, 32
